symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2015-12-30 00:00:00+00:00,24.8540865859,25.1736788287,24.8216641845,25.1458881988,100855108,107.32,0.0,108.7,107.18,108.58,1.0,25213777
AAPL,2015-12-31 00:00:00+00:00,24.3770141077,24.7869258972,24.2751151317,24.7822941256,163649264,105.26,0.0,107.03,104.82,107.01,1.0,40912316
AAPL,2016-01-04 00:00:00+00:00,24.39785708,24.4020256745,23.6220353314,23.7633043662,270597548,105.35,0.0,105.368,102.0,102.61,1.0,67649387
AAPL,2016-01-05 00:00:00+00:00,23.7864632244,24.5136513709,23.7169866499,24.4904925127,223163968,102.71,0.0,105.85,102.41,105.75,1.0,55790992
AAPL,2016-01-06 00:00:00+00:00,23.3209701752,23.7077231066,23.1287516524,23.2885477738,273829552,100.7,0.0,102.37,99.87,100.56,1.0,68457388
AAPL,2016-01-07 00:00:00+00:00,22.3367187031,23.1889646837,22.3320869314,22.8531612402,324377712,96.45,0.0,100.13,96.43,98.68,1.0,81094428
AAPL,2016-01-08 00:00:00+00:00,22.4548288797,22.9527443303,22.4085111634,22.8230547246,283192064,96.96,0.0,99.11,96.76,98.55,1.0,70798016
AAPL,2016-01-11 00:00:00+00:00,22.818422953,22.9411649013,22.5428325408,22.9203219289,198957508,98.53,0.0,99.06,97.34,98.97,1.0,49739377
AAPL,2016-01-12 00:00:00+00:00,23.1495946248,23.3186542894,22.8901922544,23.286231888,196616908,99.96,0.0,100.69,98.8399,100.55,1.0,49154227
AAPL,2016-01-13 00:00:00+00:00,22.5544119698,23.4344485802,22.5335689975,23.2329665142,249758524,97.39,0.0,101.19,97.3,100.32,1.0,62439631
AAPL,2016-01-14 00:00:00+00:00,23.0476956488,23.2700206872,22.1722908101,22.6864174614,252680508,99.52,0.0,100.48,95.74,97.96,1.0,63170127
AAPL,2016-01-15 00:00:00+00:00,22.4941989386,22.628520316,22.084287149,22.2788215576,319335564,97.13,0.0,97.71,95.36,96.2,1.0,79833891
AAPL,2016-01-19 00:00:00+00:00,22.3853523052,22.8462135828,22.1167095505,22.7906323232,212350988,96.66,0.0,98.65,95.5,98.41,1.0,53087747
AAPL,2016-01-20 00:00:00+00:00,22.4154588208,22.7396133586,21.6350053006,22.0240741178,289337664,96.79,0.0,98.1897,93.42,95.1,1.0,72334416
AAPL,2016-01-21 00:00:00+00:00,22.3019804158,22.6678903749,21.9870199447,22.4779877379,208645852,96.3,0.0,97.88,94.94,97.06,1.0,52161463
AAPL,2016-01-22 00:00:00+00:00,23.487713954,23.4969774973,22.7813687799,22.8415818111,263201868,101.42,0.0,101.46,98.37,98.63,1.0,65800467
AAPL,2016-01-25 00:00:00+00:00,23.0291685623,23.513188698,22.9759031885,23.5108728122,207178100,99.44,0.0,101.53,99.21,101.52,1.0,51794525
AAPL,2016-01-26 00:00:00+00:00,23.1565422822,23.3626561199,22.7118922054,23.1426469673,300308008,99.99,0.0,100.88,98.07,99.93,1.0,75077002
AAPL,2016-01-27 00:00:00+00:00,21.6350053006,22.3781499003,21.616478214,22.2417673846,533478696,93.42,0.0,96.6289,93.34,96.04,1.0,133369674
AAPL,2016-01-28 00:00:00+00:00,21.7901696503,21.8897527404,21.3964690614,21.7206930758,222715300,94.09,0.0,94.52,92.39,93.79,1.0,55678825
AAPL,2016-01-29 00:00:00+00:00,22.5428325408,22.5428325408,21.8503826815,21.9522816575,257666016,97.34,0.0,97.34,94.35,94.79,1.0,64416504
AAPL,2016-02-01 00:00:00+00:00,22.3320869314,22.3969317343,22.0935506923,22.3413504747,163774164,96.43,0.0,96.71,95.4,96.47,1.0,40943541
AAPL,2016-02-02 00:00:00+00:00,21.8804891972,22.2417673846,21.8341714808,22.0981824639,149428860,94.48,0.0,96.04,94.28,95.42,1.0,37357215
AAPL,2016-02-03 00:00:00+00:00,22.3135598449,22.4270382499,21.7878537645,22.0009152596,183857176,96.35,0.0,96.84,94.08,95.0,1.0,45964294
AAPL,2016-02-04 00:00:00+00:00,22.4918830528,22.6618527694,22.1635853809,22.3195849839,185886608,96.6,0.52,97.33,95.19,95.86,1.0,46471652
AAPL,2016-02-05 00:00:00+00:00,21.8911681638,22.5663903258,21.8143325385,22.4732562345,185672256,94.02,0.0,96.92,93.69,96.52,1.0,46418064
AAPL,2016-02-08 00:00:00+00:00,22.1216750398,22.2823313473,21.6629896401,21.6839448106,216085500,95.01,0.0,95.7,93.04,93.13,1.0,54021375
AAPL,2016-02-09 00:00:00+00:00,22.1170183352,22.3382118021,21.8702129933,21.9540336754,177324780,94.99,0.0,95.94,93.93,94.29,1.0,44331195
AAPL,2016-02-10 00:00:00+00:00,21.9493769709,22.4336742457,21.9097949821,22.3335550976,169374404,94.27,0.0,96.35,94.1,95.92,1.0,42343601
AAPL,2016-02-11 00:00:00+00:00,21.8166608908,22.0541528236,21.5582137874,21.8376160613,200298844,93.7,0.0,94.72,92.59,93.79,1.0,50074711
AAPL,2016-02-12 00:00:00+00:00,21.884183107,22.0029290734,21.6560045832,21.9307501526,161405524,93.99,0.0,94.5,93.01,94.19,1.0,40351381
AAPL,2016-02-16 00:00:00+00:00,22.5011964619,22.5500918599,22.0285409485,22.1240033921,196231664,96.64,0.0,96.85,94.61,95.02,1.0,49057916
AAPL,2016-02-17 00:00:00+00:00,22.8457925998,22.8667477703,22.3871072001,22.5081815188,179452972,98.12,0.0,98.21,96.15,96.67,1.0,44863243
AAPL,2016-02-18 00:00:00+00:00,22.4127190752,23.0250757256,22.3733699216,23.0134339642,156083932,96.26,0.0,98.89,96.091,98.84,1.0,39020983
